experiment,input_distribution,method,precision,threads,n,trial,seed_x,seed_y,result,reference_fp64,reference_same_precision,abs_reference_fp64,abs_reference_same_precision,sum_abs_products,dot_condition_number_fp64,dot_condition_number_same_precision,abs_error_vs_serial_fp64,scaled_error_vs_sum_abs_products,scaled_parallel_error_vs_sum_abs_products,error_vs_serial_fp64,mixed_error_vs_fp64,parallel_error_vs_serial_same_precision
error,normal,openmp,mixed_fp32_fp64,2,1000000,1,100124,100457,-1503.6762203062735,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175972562865e-05,1.584304966263429e-11,0,6.7070130550778353e-09,6.7070130550778353e-09,0
error,normal,openmp,fp64,4,1000000,1,100124,100457,-1503.6762102211751,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,7.7534423326142132e-11,1.2180072243277093e-16,1.2180072243277093e-16,5.1563244001008454e-14,,5.1563244001008454e-14
error,normal,openmp,mixed_fp32_fp64,4,1000000,1,100124,100457,-1503.6762203062733,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.008517574518919e-05,1.584304930544742e-11,3.5718686930431359e-19,6.7070129038659767e-09,6.7070129038659767e-09,1.5121185822631408e-16
error,normal,openmp,fp64,8,1000000,1,100124,100457,-1503.6762102211796,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,8.2081896835006773e-11,1.2894445981885721e-16,1.2894445981885721e-16,5.4587481185818329e-14,,5.4587481185818329e-14
error,normal,openmp,mixed_fp32_fp64,8,1000000,1,100124,100457,-1503.6762203062731,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175517815514e-05,1.584304894826055e-11,7.1437373860862718e-19,6.7070127526541174e-09,6.7070127526541174e-09,3.0242371645262816e-16
error,normal,openmp,fp64,16,1000000,1,100124,100457,-1503.6762102211765,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,7.8898665378801525e-11,1.2394384364859681e-16,1.2394384364859681e-16,5.2470515156451418e-14,,5.2470515156451418e-14
error,normal,openmp,mixed_fp32_fp64,16,1000000,1,100124,100457,-1503.6762203062735,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175972562865e-05,1.584304966263429e-11,0,6.7070130550778353e-09,6.7070130550778353e-09,0
error,normal,openmp,fp64,22,1000000,1,100124,100457,-1503.6762102211769,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,7.9353412729687989e-11,1.2465821738720545e-16,1.2465821738720545e-16,5.2772938874932402e-14,,5.2772938874932402e-14
error,normal,openmp,mixed_fp32_fp64,22,1000000,1,100124,100457,-1503.6762203062731,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175517815514e-05,1.584304894826055e-11,7.1437373860862718e-19,6.7070127526541174e-09,6.7070127526541174e-09,3.0242371645262816e-16
error,normal,serial,fp64,,1000000,2,100125,100458,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,0,0,0,0,,0
