precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,4.0,1919384,12,6.126657365739268e-22,1.338811899581244e-21,1.9057883590908074e-21,1.6164201776949e-22,3.402284677294619e-21,0.0,4.0385134493928445e-21
fp64,4.0,3684032,12,6.8623131840193245e-22,1.2065623938018239e-21,1.5549305779584159e-21,2.133895715016642e-22,2.204976069664641e-21,1.419591870243472e-22,2.4376650588097845e-21
fp64,4.0,7071068,12,8.2402076398673e-21,1.463298347713909e-20,2.1895923102397408e-20,3.4823565213270994e-21,7.865719155886779e-20,1.0229435382371136e-21,1.2568143457124293e-19
fp64,4.0,13572088,12,3.278236210701605e-22,5.475908165877826e-22,7.505192318690571e-22,1.2255844991753369e-23,1.0813930136842242e-21,0.0,1.1696904768523432e-21
fp64,4.0,26050038,12,1.1778802622426522e-21,2.568513143666149e-21,8.452549142667447e-21,3.15929692021902e-22,1.691177315942332e-20,3.1320434532117715e-22,1.879297718803234e-20
fp64,4.0,50000000,12,1.448830768811438e-22,5.432868064114184e-22,1.0154735315281042e-21,4.995913634947865e-23,1.5623347951384556e-21,2.789747196610466e-23,1.6101775122272781e-21
fp64,8.0,1000000,12,7.521486118619015e-22,3.2999381261793446e-21,5.070009058134413e-21,3.9701437723269117e-22,5.893342388636239e-21,2.177835013939713e-22,6.074011796452506e-21
fp64,8.0,1919384,12,2.0901156524434256e-20,3.282453736081183e-20,4.209562742049205e-20,8.792924656614075e-21,8.269423965372652e-20,5.078576388953843e-21,9.81329214344064e-20
fp64,8.0,3684032,12,6.658841506217164e-22,1.1145931534759363e-21,1.6038877943109822e-21,3.862750340401917e-22,2.7148831193634427e-21,2.8365142262268704e-22,2.934664730994304e-21
fp64,8.0,7071068,12,6.472314302579056e-21,1.1183079097344324e-20,1.6912278309926637e-20,3.675856608895007e-21,4.153990672943988e-20,1.1092160906447665e-21,6.310227222528228e-20
fp64,8.0,13572088,12,3.882247388763033e-21,1.151630550830823e-20,2.098869194093157e-20,1.838313013154409e-21,4.742795321523597e-20,7.770219494254925e-22,6.462765176698837e-20
fp64,8.0,26050038,12,3.0346504354406666e-21,5.930839562022047e-21,6.199489131838034e-21,1.1323537882013635e-21,1.9846345572702754e-20,7.493460878665589e-22,2.0031361892922003e-20
fp64,8.0,50000000,12,1.177885975039352e-22,3.297912372655898e-22,9.834399126002194e-22,2.1933234772940598e-23,1.832037276671215e-21,4.018045787784582e-24,1.9878627033401768e-21
fp64,16.0,1000000,12,1.7911406313744478e-21,2.225171494270292e-21,4.602364312911499e-21,8.204169882999402e-22,9.919630405672455e-21,7.185025474848905e-22,9.967610074011955e-21
fp64,16.0,1919384,12,2.3774852138888255e-20,3.1393395086841777e-20,3.8830335611840885e-20,1.580353812938091e-20,8.146345125134063e-20,1.3757403598861112e-20,8.632865206006972e-20
fp64,16.0,3684032,12,4.347637986370176e-22,1.1722208141986404e-21,1.8136632259389834e-21,1.7256849118151395e-22,3.43914830437606e-21,7.091285565567176e-23,4.593168999045292e-21
fp64,16.0,7071068,12,3.283695128579642e-21,7.228434095423813e-21,9.457568534517319e-21,1.237483419133023e-21,1.6212959732469756e-20,4.431248867654006e-22,1.9411474158521368e-20
fp64,16.0,13572088,12,1.1054447966501227e-21,2.2379775106238486e-21,9.92835888914147e-21,5.14722353593126e-22,4.208828133918348e-20,2.2494056654517178e-23,6.113692866662122e-20
fp64,16.0,26050038,12,2.0253693473224437e-21,8.478124318179316e-21,9.711530759197341e-21,8.420278686007728e-22,1.400824345209772e-20,5.7084059933359845e-22,1.6227748636634902e-20
fp64,16.0,50000000,12,3.1900426533583493e-22,4.832805326372497e-22,1.21027314099528e-21,2.5543440469272343e-22,1.7621208916960983e-21,2.0002669932446377e-22,1.978485992475365e-21
fp64,22.0,1000000,12,3.5117361747274e-20,6.82164608287852e-20,9.901030791193876e-20,8.091069669417522e-21,1.1136418010716056e-19,6.65410198959862e-21,1.1923110869652282e-19
fp64,22.0,1919384,12,5.963483799686998e-21,1.8394604884058337e-20,3.3786732824522115e-20,1.2474740721248839e-21,5.423065367058155e-20,8.842164248624994e-22,5.632081361762112e-20
fp64,22.0,3684032,12,1.0128491863344769e-21,1.9898167311802354e-21,2.9069065532140093e-21,2.383345381157947e-22,3.594345596875683e-21,2.2308002508346735e-22,3.659733263163795e-21
fp64,22.0,7071068,12,6.999367560036556e-21,8.871479683187177e-21,1.0279605071926075e-20,1.377264264418384e-21,2.3814221859470186e-20,4.1930923224588295e-22,3.600424872187562e-20
fp64,22.0,13572088,12,1.2391410604047847e-20,1.608636128293909e-20,2.782307257975699e-20,5.6815069036969215e-21,4.2013920505109505e-20,5.0733310332679744e-21,5.051522437271572e-20
fp64,22.0,26050038,12,2.8108961131331115e-21,4.589571574883219e-21,1.0354509290197218e-20,3.2759646269394018e-22,1.409440543776547e-20,0.0,1.5756013022594282e-20
fp64,22.0,50000000,12,4.102489059408444e-21,8.127285117770314e-21,1.0486708109009501e-20,2.2197043228803467e-21,1.2574250791867345e-20,1.8239695268171548e-21,1.3137629238422193e-20
mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
