input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
alternating_sign,openmp,fp64,2.0,50000000,8,0.0237556639999999,0.02515938499999995,0.025786530999999963,0.0019123623943893672,0.02453865375,0.026547501499999925,0.023991203499999933,0.0288112354,0.0406033609999999,0.04100185549999995,1.7092075809794276,1.629684330519209
alternating_sign,openmp,fp64,4.0,1000000,8,0.000253639,0.0002657864999999,0.00029019312499995,8.021155909473014e-05,0.00025659024999992496,0.000267346,0.00025375135,0.0004119459499999349,0.0007886949999999,0.00082587599999995,3.109517858057712,3.107291002365661
alternating_sign,openmp,fp64,4.0,1919384,8,0.000409399,0.00058517099999995,0.0005848521249999751,0.0001416192178407762,0.0004665755,0.0006412587500000001,0.00042813345,0.000789215449999935,0.001570323,0.001622577,3.8356786411300465,2.772825379248354
alternating_sign,openmp,fp64,4.0,3684032,8,0.0010093999999999,0.00126799449999995,0.0015844669999999625,0.0006432567282561889,0.0011115072500000002,0.002087342749999975,0.001011162949999935,0.002520417599999965,0.003158531,0.0033570384999999,3.129117297404709,2.6475181871845916
alternating_sign,openmp,fp64,4.0,7071068,8,0.002045491,0.00240044299999995,0.0024111427499999625,0.0003041016054271154,0.002292990999999975,0.0024583995,0.002063150949999965,0.0028535315999999346,0.006096637,0.0063694445,2.980524969310547,2.653445426531741
alternating_sign,openmp,fp64,4.0,13572088,8,0.0042126899999999,0.00481920749999995,0.00785781837499995,0.005824501503453521,0.00441851675,0.0084977102499999,0.004240356099999935,0.017723771049999962,0.011087552,0.012160012500000001,2.631941111261513,2.5232390387838928
alternating_sign,openmp,fp64,4.0,26050038,8,0.008241029,0.0092826129999999,0.010924627249999925,0.004695712412039843,0.0082897527499999,0.010738973999999901,0.008256141649999965,0.018360894299999958,0.02351263,0.02741531999999995,2.853118221037688,2.953405468912713
alternating_sign,openmp,fp64,4.0,50000000,8,0.0155185329999999,0.0184543214999999,0.019117955999999936,0.002753386114421813,0.01754635975,0.0211611632499999,0.015771353049999937,0.022882692849999966,0.0406033609999999,0.04100185549999995,2.6164432552999797,2.2218023837939627
alternating_sign,openmp,fp64,8.0,1000000,8,0.000134337,0.0002099065,0.00023718924999995,0.0001368802964050024,0.000153537749999925,0.0002329812499999,0.00013661235,0.00045507549999989987,0.0007886949999999,0.00082587599999995,5.8710184089260595,3.934494644043658
alternating_sign,openmp,fp64,8.0,1919384,8,0.0010148119999999,0.010063416499999901,0.010790480499999937,0.00719630084479966,0.0062730344999999,0.01319832875,0.0027799043499999003,0.021510601149999996,0.001570323,0.001622577,1.5474028687088395,0.16123520277631517
alternating_sign,openmp,fp64,8.0,3684032,8,0.0098626619999999,0.014103471499999999,0.015376246624999963,0.0054552827410922124,0.01113014225,0.017832537499999974,0.010085081049999936,0.0238211027499999,0.003158531,0.0033570384999999,0.3202513682411535,0.2380292327318065
alternating_sign,openmp,fp64,8.0,7071068,8,0.0041057649999999,0.0113186585,0.012092665624999988,0.0062835426868308635,0.008134371000000001,0.01607679875,0.004480740649999935,0.020851137349999996,0.006096637,0.0063694445,1.4848967244837803,0.5627384641033211
alternating_sign,openmp,fp64,8.0,13572088,8,0.0068058629999999,0.01231269149999995,0.012839459874999962,0.0037596859653539244,0.010739994999999976,0.01580806975,0.007977141499999901,0.0175918027,0.011087552,0.012160012500000001,1.6291177180616423,0.9875998679898745
alternating_sign,openmp,fp64,8.0,26050038,8,0.007220314,0.01640012199999995,0.015046854124999964,0.005483537073603241,0.01175549325,0.017803653749999926,0.0074208164,0.02169982929999993,0.02351263,0.02741531999999995,3.2564553286740714,1.6716534181879887
alternating_sign,openmp,fp64,8.0,50000000,8,0.0116092539999999,0.017219914,0.017314117124999962,0.005163359852183378,0.0125314017499999,0.0206619655,0.0118891412999999,0.02412916585,0.0406033609999999,0.04100185549999995,3.49749958093778,2.3810720250983803
alternating_sign,openmp,fp64,16.0,1000000,8,8.3427e-05,0.015617022500000001,0.012221723624999988,0.01055806238432728,0.00044276250000000004,0.019195968749999924,8.68416e-05,0.024526323749999995,0.0007886949999999,0.00082587599999995,9.453714025434213,0.052883063977140966
alternating_sign,openmp,fp64,16.0,1919384,8,0.0063384699999999,0.020247217,0.01943771137499995,0.006555339252025974,0.0178889794999999,0.02190064275,0.0100363361999999,0.02697702064999993,0.001570323,0.001622577,0.24774480276786429,0.08013827283028575
alternating_sign,openmp,fp64,16.0,3684032,8,0.015603942,0.022338856999999948,0.021923314999999964,0.0032002310069697212,0.020572299750000002,0.0239131009999999,0.0172129725,0.025492093499999965,0.003158531,0.0033570384999999,0.20241878622722384,0.15027798870819165
alternating_sign,openmp,fp64,16.0,7071068,8,0.009443862,0.02355737499999995,0.02319493562499999,0.00823880278397474,0.0188349145,0.028586637,0.011710211750000001,0.0332455767,0.006096637,0.0063694445,0.6455660830283204,0.2703800614457262
alternating_sign,openmp,fp64,16.0,13572088,8,0.015580808,0.020201729499999953,0.02127467537499996,0.0054809822742732175,0.0169642885,0.0239173507499999,0.01579729875,0.029601612249999965,0.011087552,0.012160012500000001,0.711615982945172,0.6019292803618636
alternating_sign,openmp,fp64,16.0,26050038,8,0.0123983429999999,0.020669144,0.019597143374999963,0.004955896139301962,0.015509231749999927,0.022396465,0.013113282399999935,0.025821292099999935,0.02351263,0.02741531999999995,1.896433257250601,1.3263887464328445
alternating_sign,openmp,fp64,16.0,50000000,8,0.0171175159999999,0.0233806835,0.022722003999999976,0.0026715414565877363,0.021820544,0.023941423500000003,0.018744079399999933,0.025523575099999935,0.0406033609999999,0.04100185549999995,2.3720358140749007,1.753663681388953
alternating_sign,openmp,fp64,22.0,1000000,8,0.0053627229999999,0.021251186,0.01985004524999999,0.009131322317526842,0.015106666000000001,0.024513084,0.006831423099999935,0.031114994150000002,0.0007886949999999,0.00082587599999995,0.14706987476323402,0.03886258395178274
alternating_sign,openmp,fp64,22.0,1919384,8,0.010684111,0.0195268485,0.02061426974999995,0.006423236259475525,0.017269803249999924,0.0258585812499999,0.0121826983,0.028784499199999897,0.001570323,0.001622577,0.1469774134694033,0.0830946683485561
alternating_sign,openmp,fp64,22.0,3684032,8,0.016739046,0.020342133499999998,0.022480347749999977,0.0069547517798758,0.01927954375,0.0224218002499999,0.01695663365,0.03381093029999996,0.003158531,0.0033570384999999,0.1886924141316058,0.1650288304321619
alternating_sign,openmp,fp64,22.0,7071068,8,0.010398208,0.02102705999999995,0.02069016599999999,0.007390151778908769,0.01447861875,0.0274032305,0.011678708900000001,0.0287512082,0.006096637,0.0063694445,0.5863161229319513,0.3029165513390847
alternating_sign,openmp,fp64,22.0,13572088,8,0.0140585009999999,0.03239696449999995,0.03042289449999995,0.00971495026906397,0.02469332925,0.0359286812499999,0.016532660099999937,0.04209148734999996,0.011087552,0.012160012500000001,0.7886724196271052,0.37534419312648937
alternating_sign,openmp,fp64,22.0,26050038,8,0.012141288,0.02015242499999995,0.020066513124999977,0.00633789553942126,0.014484107750000001,0.02425822225,0.0126751318,0.028567338449999934,0.02351263,0.02741531999999995,1.9365844875766063,1.360398066237687
alternating_sign,openmp,fp64,22.0,50000000,8,0.0223824,0.026131602,0.027945599124999977,0.005989306886603772,0.023510160000000002,0.0307547759999999,0.0225605073,0.037160450349999964,0.0406033609999999,0.04100185549999995,1.8140753895918176,1.5690525020241755
alternating_sign,openmp,mixed_fp32_fp64,1.0,1000000,8,0.000970804,0.00116033,0.001219727374999975,0.00025410293527675624,0.000995504999999925,0.00138752775,0.00097671095,0.0015807793499999349,0.0010147509999999,0.00107213149999995,1.045268663911459,0.9239884343246748
