precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,4.0,1919384,12,1.2890835763426354e-14,2.323401521694056e-14,5.427620570394142e-14,7.991004718821775e-15,6.723658763510422e-14,6.789956490250791e-15,7.284863528815955e-14
fp64,4.0,3684032,12,3.0359128304470606e-14,3.968584203368876e-14,6.397025931358151e-14,1.6353390187924047e-14,9.298232746413659e-14,1.3020169975423604e-14,1.011316368481199e-13
fp64,4.0,7071068,12,3.615252950425885e-14,7.789416269221642e-14,1.137960699675645e-13,4.4175097044624815e-15,1.5867615104664135e-13,4.345408317678505e-15,1.837983470345397e-13
fp64,4.0,13572088,12,5.1138817012306346e-14,8.232866097426673e-14,1.0041129151799385e-13,1.4669689602678648e-14,1.1505767818871284e-13,8.785971121651038e-15,1.1597872644757614e-13
fp64,4.0,26050038,12,4.240073177776825e-14,7.372161749213651e-14,1.9591025729051232e-13,1.4162352767368444e-14,2.2949867067433146e-13,1.3294339300886784e-14,2.3492103829818826e-13
fp64,4.0,50000000,12,8.005315093286024e-14,1.513876328197636e-13,2.0864768385648882e-13,1.4761059521625022e-14,2.804750679129593e-13,7.300776739053995e-15,2.823761183566426e-13
fp64,8.0,1000000,12,6.2869112829321826e-15,1.9262354833896725e-14,3.3489896450755144e-14,4.131982324973323e-16,6.272690517366682e-14,3.4918108134715427e-16,6.495792197027783e-14
fp64,8.0,1919384,12,1.9170401788764575e-14,2.917986101019159e-14,5.426634897785132e-14,5.33537068540112e-15,6.157916111782146e-14,5.334965813768478e-15,6.230315896524794e-14
fp64,8.0,3684032,12,2.197233102679766e-14,5.523030341973287e-14,6.618243617174848e-14,8.06700929224602e-15,9.09800187452191e-14,4.8035578550106495e-15,1.0656746232870633e-13
fp64,8.0,7071068,12,4.279848248164357e-14,6.854768457431273e-14,1.2482839018988557e-13,9.785073173074337e-15,1.5536371980590224e-13,7.903676854226253e-15,1.7629368673298618e-13
fp64,8.0,13572088,12,5.214012137657842e-14,7.388159119854701e-14,1.0249345917695464e-13,1.1071274877724447e-14,1.150051342790892e-13,1.7837136206551065e-15,1.1800902784476938e-13
fp64,8.0,26050038,12,4.562274180315861e-14,5.762344278206398e-14,1.6867639979718377e-13,2.1758070556120414e-14,1.8608801692853848e-13,3.4321259085186257e-15,2.0189822716586254e-13
fp64,8.0,50000000,12,8.430670120327757e-14,1.4058850525075704e-13,2.284446616905555e-13,2.637361902198998e-14,2.897223732713299e-13,1.4899544365416314e-14,2.956050088364994e-13
fp64,16.0,1000000,12,4.979730225698634e-15,1.8855017100433027e-14,3.060934110137189e-14,3.7420631410174e-15,5.976587084952459e-14,2.909842344559619e-15,6.065067624823432e-14
fp64,16.0,1919384,12,1.871529075706447e-14,2.5885991339097928e-14,5.271775583306801e-14,9.330586957831917e-15,5.685955189849303e-14,7.397223149649733e-15,5.696981461802827e-14
fp64,16.0,3684032,12,1.674363709698528e-14,5.711806900143845e-14,6.670465945527538e-14,6.187265535041429e-15,9.260521926108679e-14,2.7799506487373327e-15,1.0201653867054095e-13
fp64,16.0,7071068,12,4.9085784187676715e-14,7.03221328380176e-14,1.1797967511375683e-13,1.89639825937052e-15,1.5278977914790543e-13,1.3172794757043756e-15,1.7234386552164222e-13
fp64,16.0,13572088,12,4.3876523368657294e-14,8.396568108298364e-14,1.0005862424788057e-13,1.0658102997913341e-14,1.1142999361215612e-13,7.409271962721214e-15,1.1526463184837937e-13
