precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,4.0,1919384,12,1.1475880436825988e-17,3.6338658795153323e-17,5.847344248226405e-17,6.988588427091346e-18,1.1995375894074065e-16,5.302858407375341e-18,1.8914233528897267e-16
fp64,4.0,3684032,12,2.1180116040666068e-17,4.6103527197700717e-17,6.231348463381482e-17,1.2797142462802205e-17,8.392151395894055e-17,1.1863366194648533e-17,9.032051856723912e-17
fp64,4.0,7071068,12,1.2218940166282424e-17,3.548736601841578e-17,5.819000434021968e-17,3.938434895754844e-18,1.1973809394810422e-16,6.058151691556359e-19,1.3533794837321234e-16
fp64,4.0,13572088,12,1.2080980829149971e-17,1.5838313955928488e-17,4.7518282158897686e-17,2.4536922296880264e-18,9.950856334209026e-17,2.235508910276263e-18,1.4654180649646754e-16
fp64,4.0,26050038,12,4.2337140783250395e-18,1.8968723642843993e-17,3.007028532825778e-17,3.64296648506702e-18,5.700889869792669e-17,3.2697123757557738e-18,6.687026763368661e-17
fp64,4.0,50000000,12,1.1810228795457607e-17,2.367255265839031e-17,4.6552304297787814e-17,1.3521085019793757e-18,1.2377250274017711e-16,7.000658471517913e-19,1.3475367990563547e-16
fp64,8.0,1000000,12,1.067988707060672e-17,1.737028279832172e-17,9.414132523906553e-17,3.172630495927117e-18,1.4264240920851389e-16,7.143898975056628e-19,1.4703003243200435e-16
fp64,8.0,1919384,12,2.76871547701497e-17,4.21994170011024e-17,6.213235327149511e-17,6.8933784983246085e-18,1.1530910759685265e-16,6.504783782152903e-19,1.6439474001751831e-16
fp64,8.0,3684032,12,1.7773888521787704e-17,2.5775160152151694e-17,4.316207842882246e-17,1.135109970102643e-17,6.447956404572551e-17,1.0073990626258157e-17,7.601508106797266e-17
fp64,8.0,7071068,12,2.501614784468476e-17,3.1622979888152715e-17,6.295923790062136e-17,1.5664207280513618e-17,1.4706768895889896e-16,8.885142063494843e-18,1.4754964990427776e-16
fp64,8.0,13572088,12,9.72529932380197e-18,1.552021010909343e-17,4.6859767255353086e-17,7.147705725272886e-18,9.860762815494028e-17,4.945573248173778e-18,1.5280337740242074e-16
fp64,8.0,26050038,12,1.2968835355720861e-17,2.3118345646757017e-17,2.90084159970229e-17,3.487036847908025e-18,5.896584776863165e-17,2.495952777417886e-18,7.998100919599268e-17
fp64,8.0,50000000,12,1.2431536715447862e-17,1.65291652685091e-17,3.343793558767445e-17,7.171354826266601e-18,1.1638182745811252e-16,6.6293052718585206e-18,1.173522823096787e-16
fp64,16.0,1000000,12,1.4868400236576067e-17,3.6106329347662714e-17,8.184244537226503e-17,1.3547038964224023e-18,1.3208435383335925e-16,3.910234789734637e-19,1.4203386628140227e-16
fp64,16.0,1919384,12,1.5279796683357378e-17,2.864766202413815e-17,4.673445183270994e-17,9.014735901735696e-19,9.867117470762312e-17,1.8606520727632777e-19,1.429964433542307e-16
fp64,16.0,3684032,12,1.0074556051682683e-17,3.7963637897557845e-17,5.225154481091093e-17,2.246333036046233e-18,6.128492742021685e-17,2.1806907210533717e-18,6.796756610797046e-17
fp64,16.0,7071068,12,1.8182358620373878e-17,3.583700562463654e-17,4.823948640284445e-17,1.8204642694469364e-18,1.575080778477738e-16,1.515678761248132e-18,1.5865119675070082e-16
fp64,16.0,13572088,12,1.3321439106088135e-17,3.741609360133617e-17,4.076194459295309e-17,6.681206075597436e-18,1.326626616959427e-16,1.7898900958526126e-18,1.8105937384357088e-16
fp64,16.0,26050038,12,1.3736219809406226e-17,2.1824296361966436e-17,3.3849751110914534e-17,4.674907463069593e-19,6.109276426711488e-17,3.0170857749007413e-19,8.557638844015677e-17
fp64,16.0,50000000,12,4.036336269356643e-18,7.599605639044258e-18,3.154376278953313e-17,1.0349789173657135e-18,1.1420332731752511e-16,4.1426443439286825e-19,1.3255350319810072e-16
fp64,22.0,1000000,12,1.438131536146977e-17,2.814783326478704e-17,7.521850652530235e-17,6.681946858824967e-18,1.4147035846067774e-16,3.571949487528314e-18,1.6201853088381063e-16
fp64,22.0,1919384,12,1.1086873652201244e-17,2.882626070176309e-17,4.4540522914672195e-17,1.4468673266474633e-18,9.866648276647565e-17,1.3954890545724585e-18,1.3490230505116104e-16
fp64,22.0,3684032,12,1.345259496589893e-17,3.5375864823367104e-17,5.126396236288372e-17,8.715563579832742e-18,7.302167470090098e-17,8.330415325559628e-18,7.984881150343652e-17
fp64,22.0,7071068,12,1.431219408406644e-17,2.611795048244635e-17,5.539778519408317e-17,5.9916158235032035e-18,1.3892895222957147e-16,5.287218020433677e-18,1.4008133657122952e-16
fp64,22.0,13572088,12,1.650592385282845e-17,2.957830632408187e-17,5.34084811499722e-17,4.202750230317217e-18,1.25472898131194e-16,2.842766622824738e-18,1.771130056255331e-16
fp64,22.0,26050038,12,1.4431705055564286e-17,2.3981530215988192e-17,3.0458559323045553e-17,5.3583851771258976e-18,6.288180244400428e-17,5.48561049981953e-19,8.129756901814894e-17
fp64,22.0,50000000,12,5.579056899827223e-18,8.435967093669821e-18,2.7650933778175152e-17,2.437036143207915e-18,1.0941501960078574e-16,1.0856995633595645e-18,1.1347375601640378e-16
mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1000000,12,0.0,0.0,2.0064180039228185e-19,0.0,8.38670884270026e-19,0.0,1.4274760430291685e-18
mixed_fp32_fp64,2.0,1919384,12,8.133193763879572e-20,2.325020646436151e-19,3.9533598741017253e-19,0.0,6.8355938864941e-19,0.0,8.373246520416892e-19
mixed_fp32_fp64,2.0,3684032,12,4.843427523364885e-20,9.688951224317918e-20,1.9378251172818601e-19,0.0,5.487506802701488e-19,0.0,7.752311796450149e-19
mixed_fp32_fp64,2.0,7071068,12,9.474708986903137e-21,6.311911437607559e-20,2.0203340409132867e-19,0.0,5.655645617571652e-19,0.0,1.0098106354051173e-18
mixed_fp32_fp64,2.0,13572088,12,4.60505243865525e-20,1.3158636235345102e-19,2.828706260982376e-19,0.0,5.500612550969602e-19,0.0,5.788006719788665e-19
mixed_fp32_fp64,2.0,26050038,12,1.131066451828114e-19,1.9878927054182357e-19,3.495688150284563e-19,2.742412519845492e-20,5.182897054385107e-19,2.741932516433603e-20,5.485665925651075e-19
mixed_fp32_fp64,2.0,50000000,12,7.857028356090921e-20,1.5000387195229527e-19,2.928244312873817e-19,1.5713986906506665e-20,8.329572022763734e-19,0.0,9.429328746577547e-19
mixed_fp32_fp64,4.0,1000000,12,0.0,8.920790552449181e-20,2.5644327824298313e-19,0.0,1.0352786629912398e-18,0.0,1.4274760430291685e-18
