precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,4.0,1919384,12,1.6415978558579574e-17,2.6479733161913162e-17,3.398467783485549e-17,6.508508901663865e-18,5.666029424392064e-17,5.394920386369429e-18,7.902943075164799e-17
fp64,4.0,3684032,12,1.0561281607186204e-17,1.8551565549587414e-17,2.8553642341091015e-17,3.1929789799537253e-18,3.7926739408266606e-17,5.81191766899509e-19,4.1681446062088733e-17
fp64,4.0,7071068,12,1.1478449133769462e-17,1.995035334049901e-17,3.690042228602687e-17,4.8964117418480906e-18,8.568502718311263e-17,2.0196212708102348e-19,1.1066223756576281e-16
fp64,4.0,13572088,12,1.0422718824796695e-17,2.0262554881991306e-17,3.527639226563346e-17,4.262741645377637e-18,1.0666357998502175e-16,9.865920545094318e-19,1.8640754558197886e-16
fp64,4.0,26050038,12,9.236408322068231e-18,2.2846012912148128e-17,2.887306655322231e-17,5.19931501674353e-18,8.192132942835105e-17,4.415961070149116e-18,1.2529266298625852e-16
fp64,4.0,50000000,12,5.645866429982971e-18,1.9605239412903984e-17,4.4083842869090396e-17,7.087650176497916e-19,8.170991640923563e-17,6.285594762602665e-19,1.0142719605069613e-16
fp64,8.0,1000000,12,1.608334765410182e-17,2.345072398192526e-17,4.277342901460276e-17,8.804719954008408e-18,6.207704992859956e-17,6.2509116031745494e-18,6.454085872204746e-17
fp64,8.0,1919384,12,1.7837510572986964e-17,2.0983073248642045e-17,3.487981494874195e-17,4.601434292555048e-18,7.591391306075399e-17,5.115872780177907e-19,7.902943075164799e-17
fp64,8.0,3684032,12,1.1116474684761872e-17,2.1374231141960863e-17,3.152055742915372e-17,1.9626037485974623e-18,4.2858692878425047e-17,1.2236097934799474e-18,4.322205073067452e-17
fp64,8.0,7071068,12,1.5581344563368136e-17,2.4661277781178722e-17,4.380359068140504e-17,1.6208096104678444e-18,7.3800575090993e-17,4.545559873603713e-19,7.736970879072855e-17
fp64,8.0,13572088,12,1.1548354565011108e-17,2.2901310655948592e-17,3.384564183157689e-17,4.53980384130839e-18,1.0219119992192833e-16,2.6309121453584843e-18,1.7919754170147886e-16
fp64,8.0,26050038,12,1.2694487412341405e-17,2.0055714962748534e-17,4.007835374924651e-17,2.535866195981585e-18,8.650980954803123e-17,1.8651264147213655e-18,1.40769185580513e-16
fp64,8.0,50000000,12,3.657046184253363e-18,6.823521271096681e-18,2.4752118705186808e-17,9.067476347306719e-19,5.770189457457185e-17,4.786487129647854e-19,7.565611694147699e-17
fp64,16.0,1000000,12,1.4622488143562575e-17,2.1585285583899984e-17,4.290848952636619e-17,5.282138043526402e-18,6.881611379414323e-17,1.1608835834467022e-18,8.079662285531684e-17
fp64,16.0,1919384,12,1.1079419374900629e-17,2.3798375653692137e-17,3.544904325648146e-17,4.225658583446905e-18,7.016754219099464e-17,1.7215453595070854e-18,8.21906079817139e-17
fp64,16.0,3684032,12,8.797453913017324e-18,1.904763363262949e-17,2.6727431952524275e-17,4.7674547860545044e-18,3.783869049105238e-17,3.490889040238233e-18,4.265835088769296e-17
fp64,16.0,7071068,12,1.623347951287062e-17,2.0128520189619924e-17,3.7180060725301133e-17,3.3026761771297556e-18,7.953835591185225e-17,3.079922437985608e-18,8.21889246154479e-17
fp64,16.0,13572088,12,1.0329769716661408e-17,1.764812537556222e-17,3.0081159273461954e-17,2.491514591577822e-18,8.845035875809958e-17,1.052531219429245e-18,1.509364316005408e-16
fp64,16.0,26050038,12,7.480665157459257e-18,2.041487481842577e-17,4.69202134968493e-17,1.3443588235610004e-18,1.000677589308493e-16,6.991880790077213e-19,1.636481193358812e-16
fp64,16.0,50000000,12,7.69984389694362e-18,2.5431712407853726e-17,4.048361502170488e-17,3.1194689220572846e-18,5.749110799482969e-17,2.9861964480489597e-18,7.077046890635898e-17
fp64,22.0,1000000,12,1.6475423010464727e-17,2.803087071537667e-17,3.493596275234274e-17,4.251792465338599e-18,5.611591924068053e-17,2.676517580679691e-18,6.041871355109977e-17
fp64,22.0,1919384,12,7.02565799366546e-18,2.5051715097682995e-17,3.073105741404032e-17,3.632940342684318e-18,6.352861351124953e-17,1.0233967969398425e-18,7.29924427098517e-17
fp64,22.0,3684032,12,9.8463910025699e-18,1.8733041459499454e-17,3.305078426284232e-17,4.8383732296874e-18,4.1748824244424103e-17,1.1622763565745457e-18,4.205912559890749e-17
fp64,22.0,7071068,12,8.345525253575268e-18,1.9830358819858903e-17,3.937303312268851e-17,5.750926981798899e-18,7.864751351301584e-17,5.70720295241355e-18,7.999583467657572e-17
fp64,22.0,13572088,12,1.7176851238008078e-17,2.3924419159309357e-17,3.1033050858023535e-17,1.1251120789613626e-17,9.633281665663537e-17,6.156334420138852e-18,1.5019964288282547e-16
fp64,22.0,26050038,12,7.508600854985347e-18,2.088888737921439e-17,3.9059127319540706e-17,1.8450686251001576e-18,9.638896216136493e-17,5.483828070648793e-19,1.4658144915886894e-16
fp64,22.0,50000000,12,1.0590256045707847e-17,1.911374909245038e-17,2.9508203527860566e-17,7.030918570316744e-19,5.912825716812988e-17,5.713933172237297e-19,7.608468255859262e-17
mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1000000,12,0.0,2.2344475251172162e-20,1.115811643392203e-19,0.0,1.784627944439602e-19,0.0,1.784654710900216e-19
mixed_fp32_fp64,2.0,1919384,12,4.067305969042447e-20,1.1631041566401472e-19,1.8604010491484304e-19,0.0,4.881713284395249e-19,0.0,7.438064070743341e-19
mixed_fp32_fp64,2.0,3684032,12,0.0,4.8469399792165935e-20,1.21167390738748e-19,0.0,5.790311796328473e-19,0.0,8.72557177248265e-19
mixed_fp32_fp64,2.0,7071068,12,2.5253498329752154e-20,1.0101212358440446e-19,2.0195621317058553e-19,0.0,4.042139641982663e-19,0.0,4.0425425010786723e-19
mixed_fp32_fp64,2.0,13572088,12,4.935230782754217e-20,1.3158472139875946e-19,2.203519878796224e-19,7.232528827364381e-21,6.762907806164582e-19,0.0,1.0525553110219025e-18
mixed_fp32_fp64,2.0,26050038,12,5.485425456314566e-20,1.5080381474498248e-19,2.262045554795121e-19,4.2028525296510523e-20,4.2767627856960074e-19,2.741897170445093e-20,5.483900918268475e-19
mixed_fp32_fp64,2.0,50000000,12,5.447090482562437e-20,1.5713532760762683e-19,3.428026682823064e-19,2.0535802742824728e-20,7.971184325644868e-19,1.071514630292903e-20,1.1428416456416465e-18
mixed_fp32_fp64,4.0,1000000,12,0.0,0.0,8.921199092503158e-20,0.0,2.9004454031442484e-19,0.0,5.353964132700648e-19
