experiment,input_distribution,method,precision,threads,n,trial,repeat,seed_x,seed_y,runtime,result
runtime,normal,serial,fp64,,1919384,0,5,123,456,0.00162375,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,5,123,456,0.001874038,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,6,123,456,0.001637129,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,6,123,456,0.001839455,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,7,123,456,0.0015538279999999999,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,7,123,456,0.001831736,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,0,123,456,0.001564197,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,0,123,456,0.001909521,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,1,123,456,0.0015351449999999999,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,1,123,456,0.001828915,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,2,123,456,0.0016323049999999999,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,2,123,456,0.0018299600000000001,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,3,123,456,0.0015651980000000001,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,3,123,456,0.0019260150000000001,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,4,123,456,0.001581402,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,4,123,456,0.0023850830000000001,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,5,123,456,0.0023695809999999999,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,5,123,456,0.001880514,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,6,123,456,0.0015379580000000001,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,6,123,456,0.0018248730000000001,2792.7675344692061
runtime,normal,openmp,fp64,1,1919384,0,7,123,456,0.0015324010000000001,2792.7674191566271
runtime,normal,openmp,mixed_fp32_fp64,1,1919384,0,7,123,456,0.0019711220000000001,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,0,123,456,0.001250211,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,0,123,456,0.0017469740000000001,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,1,123,456,0.0012554420000000001,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,1,123,456,0.0016619289999999999,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,2,123,456,0.001134428,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,2,123,456,0.0015132839999999999,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,3,123,456,0.0010722259999999999,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,3,123,456,0.0015127809999999999,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,4,123,456,0.0010346610000000001,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,4,123,456,0.001488362,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,5,123,456,0.0012100399999999999,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,5,123,456,0.0016091879999999999,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,6,123,456,0.0010509250000000001,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,6,123,456,0.0015700060000000001,2792.7675344692061
runtime,normal,openmp,fp64,2,1919384,0,7,123,456,0.0013068540000000001,2792.7674191567003
runtime,normal,openmp,mixed_fp32_fp64,2,1919384,0,7,123,456,0.001771892,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,0,123,456,0.0011540949999999999,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,0,123,456,0.00074628800000000001,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,1,123,456,0.00064964000000000005,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,1,123,456,0.00073384999999999998,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,2,123,456,0.00054443700000000005,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,2,123,456,0.00082485200000000005,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,3,123,456,0.00053151200000000004,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,3,123,456,0.00069319300000000004,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,4,123,456,0.00055227499999999997,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,4,123,456,0.00069142300000000004,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,5,123,456,0.00052808499999999997,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,5,123,456,0.001120991,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,6,123,456,0.00055897200000000003,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,6,123,456,0.00072022700000000004,2792.7675344692061
runtime,normal,openmp,fp64,4,1919384,0,7,123,456,0.00058125799999999997,2792.7674191567367
runtime,normal,openmp,mixed_fp32_fp64,4,1919384,0,7,123,456,0.0011753709999999999,2792.7675344692061
runtime,normal,openmp,fp64,8,1919384,0,0,123,456,0.016138825999999998,2792.7674191567294
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,0,123,456,0.0079687649999999992,2792.7675344692052
runtime,normal,openmp,fp64,8,1919384,0,1,123,456,0.011157769999999999,2792.7674191567298
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,1,123,456,0.019643372999999999,2792.7675344692052
runtime,normal,openmp,fp64,8,1919384,0,2,123,456,0.0037400739999999999,2792.7674191567298
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,2,123,456,0.0014373859999999999,2792.7675344692057
runtime,normal,openmp,fp64,8,1919384,0,3,123,456,0.0058182989999999999,2792.7674191567298
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,3,123,456,0.003009028,2792.7675344692052
runtime,normal,openmp,fp64,8,1919384,0,4,123,456,0.003776962,2792.7674191567303
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,4,123,456,0.0072744510000000004,2792.7675344692057
