precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,4.0,1919384,12,1.9067408388270293e-16,2.6220269831108125e-16,3.7453036658346484e-16,9.068632351993941e-17,5.726627282815192e-16,4.27583256807367e-17,5.829434626800147e-16
fp64,4.0,3684032,12,1.1300830618845265e-16,2.7667172851866955e-16,5.761550696817819e-16,2.5475281034248646e-17,7.954188390777958e-16,1.400398036652463e-17,8.225482756236268e-16
fp64,4.0,7071068,12,1.8849441190353796e-16,4.1439306967131026e-16,8.437560525781518e-16,4.0555349996966077e-17,1.3217557474591153e-15,1.828084247944557e-17,1.605651176058133e-15
fp64,4.0,13572088,12,1.820569164676376e-16,5.043666367173133e-16,6.978836226680822e-16,9.188994393224411e-17,1.251538438290586e-15,6.866382228578075e-17,1.7796300703427384e-15
fp64,4.0,26050038,12,8.68682351319867e-17,2.555920835976043e-16,4.1927834422262844e-16,1.005183911632569e-17,8.676607301063848e-16,1.0502436188594513e-18,1.3737126626562241e-15
fp64,4.0,50000000,12,1.1413859868754534e-16,2.4113103972181865e-16,4.498944376941754e-16,1.2249638978426872e-17,9.03448077282201e-16,3.809331382869121e-18,9.628609045256937e-16
fp64,8.0,1000000,12,1.0686329544276853e-16,2.42403628411696e-16,5.776726431031765e-16,2.823855855035946e-17,1.2360731961500174e-15,6.550954036707374e-18,1.8162603111021917e-15
fp64,8.0,1919384,12,1.4463294855275591e-16,2.8975693209066645e-16,4.605662269323775e-16,8.78761560033403e-17,6.393231325196117e-16,7.80039815276566e-17,6.718238965508115e-16
fp64,8.0,3684032,12,1.0223391231794215e-16,1.8524324284683802e-16,3.616644141425831e-16,3.7820011314281084e-17,5.56474918757114e-16,1.5647809819568112e-17,6.209967113979699e-16
fp64,8.0,7071068,12,1.5495991002938455e-16,3.0348090661289346e-16,6.933860422056977e-16,3.311154142016464e-17,1.2258937471180221e-15,2.2162930857465212e-17,1.3833451788892621e-15
fp64,8.0,13572088,12,2.5111779959596327e-16,4.681216591387329e-16,7.157303113713661e-16,1.6555492585387537e-16,1.2847014015952691e-15,1.368370696046119e-16,1.4443226553111412e-15
fp64,8.0,26050038,12,1.528863819999762e-16,2.3371645572021426e-16,4.650444565495883e-16,6.547193465649256e-17,8.462660235506954e-16,4.922085639675599e-17,9.7539871709152e-16
fp64,8.0,50000000,12,1.714417015476954e-16,3.498914758531422e-16,7.348475074101734e-16,1.832221126133942e-17,8.850564978496135e-16,1.6300561231614233e-17,9.426074346749542e-16
fp64,16.0,1000000,12,1.8568180337197528e-16,2.390174394680775e-16,4.3990292458549577e-16,9.676531483107229e-17,1.1642009972665706e-15,4.642983806566407e-17,1.648658135501424e-15
fp64,16.0,1919384,12,2.0219257020847885e-16,2.761548486842878e-16,4.924706316586508e-16,1.2552990656912166e-16,6.55256587060707e-16,1.0955615383097835e-16,7.506427966457898e-16
fp64,16.0,3684032,12,2.1270782832301985e-16,2.780162088700824e-16,5.405346130838168e-16,1.2696117159040096e-16,6.743280512643652e-16,8.030972771689912e-17,6.827332265661891e-16
fp64,16.0,7071068,12,2.692835091637095e-16,3.9404917809947464e-16,5.788813246977395e-16,1.0159705710607713e-16,1.1921764927562485e-15,1.0021499170332096e-16,1.3571344281313605e-15
fp64,16.0,13572088,12,1.7180378076783817e-16,2.88690811992125e-16,6.640770736952366e-16,6.10029257334407e-17,1.0473770226732003e-15,5.832513345304281e-17,1.3029525579538316e-15
fp64,16.0,26050038,12,1.1378927612506926e-16,3.4887130311325445e-16,5.005716798799418e-16,5.355600982044295e-17,9.784774241954699e-16,3.557733432492794e-17,1.170373916167156e-15
fp64,16.0,50000000,12,1.4110784146380818e-16,2.2988488234869816e-16,4.78955657927736e-16,6.07138068340157e-17,9.668472243761741e-16,2.6007672735471642e-17,9.897832986248682e-16
fp64,22.0,1000000,12,4.8372078377455476e-17,1.8602062676856703e-16,3.743629974724736e-16,1.3269897118148564e-17,1.0811701173178715e-15,1.3137989212385015e-17,1.38528328812879e-15
fp64,22.0,1919384,12,1.4345566149918357e-16,3.774138485675265e-16,5.596050978852878e-16,1.0369206100377355e-16,7.283553304907051e-16,1.0134530720575295e-16,8.259547343049481e-16
fp64,22.0,3684032,12,1.7482684049493404e-16,3.589114936072239e-16,4.736832045762253e-16,6.446710869331923e-17,8.429446588531899e-16,3.569939283755121e-17,9.957057239097403e-16
fp64,22.0,7071068,12,2.730012665901163e-16,4.505154841860942e-16,6.007170632200954e-16,1.8595502049047675e-17,1.1491765528807379e-15,1.3057570996092332e-17,1.3891697901687958e-15
fp64,22.0,13572088,12,7.460631758285805e-17,2.122138494498095e-16,4.873458776187353e-16,2.562429305754291e-18,9.97787006504264e-16,2.0071155542128437e-18,1.283558826186403e-15
fp64,22.0,26050038,12,5.649518508807804e-17,1.690544988960556e-16,4.493272275580332e-16,1.4855617659311196e-17,8.632463591796955e-16,1.2602923426313413e-17,1.1787374635805881e-15
fp64,22.0,50000000,12,1.0147545497665865e-16,2.7180248463196133e-16,4.1090971653367947e-16,3.529963886600062e-17,1.0185720968389473e-15,1.6254795459669778e-17,1.2113764535050368e-15
mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1000000,12,7.933803056375578e-17,3.415741199151315e-16,7.054929142452212e-16,2.849830889820976e-17,1.0362770410397763e-15,2.6517923668936368e-17,1.2382038279077083e-15
mixed_fp32_fp64,2.0,1919384,12,1.1221704759291686e-16,2.5407250136083885e-16,4.378955298596063e-16,3.030971174127053e-17,7.180403993589987e-16,7.0113819103626e-18,9.478095525896637e-16
mixed_fp32_fp64,2.0,3684032,12,6.162974762882458e-17,1.351360471501162e-16,3.250439536116925e-16,3.127103032055917e-17,9.762973807774163e-16,2.6304815775037735e-17,9.971538623418051e-16
mixed_fp32_fp64,2.0,7071068,12,7.276953488105185e-17,3.675247861633011e-16,5.3081285124533095e-16,4.879844810070323e-17,1.0920394098630948e-15,2.872302876140938e-17,1.5190856530795384e-15
mixed_fp32_fp64,2.0,13572088,12,4.4185189781860016e-17,1.5148799685420946e-16,3.085891410732181e-16,3.044453258560211e-17,5.152366990935912e-16,3.016776920651838e-17,5.1852714409756875e-16
mixed_fp32_fp64,2.0,26050038,12,1.467357906989364e-16,2.6622332194296195e-16,3.2222419498552733e-16,2.5442110153075417e-17,5.347320587148231e-16,2.29607552936754e-17,5.854252439724372e-16
mixed_fp32_fp64,2.0,50000000,12,1.9884885648945646e-16,2.8100193345456195e-16,3.6695004580339805e-16,2.906645118518006e-17,6.099408061013448e-16,2.731659647584546e-17,7.139063704210153e-16
